1883,1487
1625,1092
1582,1053
1531,1025
1192,935
1104,912
1057,896
963,865
953,866
946,873
932,909
797,1037
781,1046
743,1053
722,1055
708,1051
647,1021
621,1006
606,994
590,976
550,913
544,874
547,838
615,685
618,674
616,661
609,652
309,468
293,460
279,459
266,465
254,478
178,641
169,671
167,704
186,813
191,825
202,833
449,880
470,896
485,928
492,972
412,1200
411,1212
424,1231
493,1262
516,1268
589,1277
611,1278
625,1283
643,1290
665,1291
692,1288
886,1241
968,1205
1028,1181
1139,1145
1269,1123
1326,1125
1394,1148
1405,1142
1413,1134
1433,1085
1445,1067
1461,1058
1491,1057
1528,1067
1553,1087
1574,1113
1587,1129
1599,1150
1619,1196
1616,1212
1575,1249
1568,1262
1567,1274
1731,1556
1740,1565
1746,1568
1754,1567
1820,1532
1837,1529
1875,1518
1882,1511
1884,1504
